timestamp,price,usdt_balance,btc_balance,total_assets,profit_pct,trend_score,volatility
2025-02-16 04:00:16.896,107299.13,992.1183259000006,0.00024,1017.8701171000006,1.7870117100000587,-0.27529727127229403,0.6020566399518196
2025-02-16 04:02:27.968,107299.13,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,0.5906078285441423,0.6126792774291774
2025-02-16 04:04:39.040,107320.58,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,-0.067554537627913,0.7304422170184887
2025-02-16 04:06:50.112,107340.86,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,-1.3566556601827386,0.8307708684687221
2025-02-16 04:09:01.184,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-4.044813893656144,0.6338873016245438
2025-02-16 04:11:12.256,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,2.1046497511898528,0.645544359292327
2025-02-16 04:13:23.328,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,2.1250834613838734,0.6581638808744875
2025-02-16 04:15:34.400,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,1.3476430213034358,0.671942179466866
2025-02-16 04:17:45.472,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,1.3476430213034358,0.65279955874944
2025-02-16 04:19:56.544,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,0.8210310131119611,0.6339598003034572
2025-02-16 04:22:07.616,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,1.5137702243988307,0.6149808321392056
2025-02-16 04:24:18.688,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-0.6142825208741511,0.5952776273944316
2025-02-16 04:26:29.760,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,0.16536261673891353,0.5739170500298785
2025-02-16 04:28:40.832,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,0.0762369183904049,0.5490225103205607
2025-02-16 04:30:51.904,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,0.06868104482419453,0.5151895708946326
2025-02-16 04:33:02.976,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-2.5966013813273574,0.4299820681161911
2025-02-16 04:35:14.048,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,0.9855834085711874,0.43428946970870347
2025-02-16 04:37:25.120,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-3.3735258029387403,0.43856456559213053
2025-02-16 04:39:36.192,107301.26,1017.8701171000006,0.0,1017.8701171000006,1.7870117100000587,3.4070337092395797,0.44281118540468006
2025-02-16 04:41:47.264,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-5.380862554066476,0.4280013308553686
2025-02-16 04:43:58.336,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-5.892908704596247,0.4248526328274141
2025-02-16 04:46:09.408,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-6.311191907297819,0.421663210322031
2025-02-16 04:48:20.480,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-6.311191907297819,0.44264606653247446
2025-02-16 04:50:31.552,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-6.311191907297819,0.75
2025-02-16 04:52:42.624,107301.26,992.1178147000006,0.00024,1017.8701171000006,1.7870117100000587,-6.311191907297819,0.75
2025-02-16 04:54:53.696,107199.54,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.92965844333863,-0.589724735885216
2025-02-16 04:57:04.768,107199.54,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.925612695061602,-0.2499999999998808
2025-02-16 04:59:15.840,107199.54,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.925612695061602,-0.09511903571197829
2025-02-16 05:01:26.912,107170.31,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.906546142545832,-0.12046634084526964
2025-02-16 05:03:37.984,107109.58,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.866932330220045,-0.20171235375912228
2025-02-16 05:05:49.056,106966.21,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.773412944856165,-0.32593513168743027
2025-02-16 05:08:00.128,107210.02,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.932448735785705,0.38874094661218145
2025-02-16 05:10:11.200,107060.2,1017.8457043000006,0.0,1017.8457043000006,1.7845704300000647,14.834722054365479,0.03508271863814045
2025-02-16 05:12:22.272,107138.99,992.1323467000007,0.00024,1017.8457043000006,1.7845704300000647,-15.11388370435098,0.26682958646240584
2025-02-16 05:14:33.344,107129.48,992.1323467000007,0.00024,1017.8434219000006,1.7843421900000636,-15.120087019931725,0.26632570629637625
2025-02-16 05:16:44.416,107172.63,992.1323467000007,0.00024,1017.8537779000006,1.7853777900000638,-15.091940535461806,0.3930914460425484
2025-02-16 05:18:55.488,107192.84,992.1323467000007,0.00024,1017.8586283000006,1.7858628300000647,-15.040840638852073,0.45946214484642367
2025-02-16 05:21:06.560,107173.55,992.1323467000007,0.00024,1017.8539987000006,1.7853998700000602,-15.053430212783281,0.4229638576885347
2025-02-16 05:23:17.632,107156.96,992.1323467000007,0.00024,1017.8500171000006,1.7850017100000628,-15.064257637952736,0.3942658287939621
2025-02-16 05:25:28.704,107128.91,992.1323467000007,0.00024,1017.8432851000007,1.7843285100000685,-15.071661855718743,0.3346784885596025
2025-02-16 05:27:39.776,107093.08,992.1323467000007,0.00024,1017.8346859000006,1.7834685900000635,-15.07238663511408,0.25489340681059375
2025-02-16 05:29:50.848,107055.46,992.1323467000007,0.00024,1017.8256571000006,1.7825657100000627,-2.034501528716321,0.17413131694604753
2025-02-16 05:32:01.920,107090.73,992.1323467000007,0.00024,1017.8341219000007,1.7834121900000697,-2.102525208517782,0.30071993133913094
2025-02-16 05:34:12.992,107186.91,992.1323467000007,0.00024,1017.8572051000007,1.7857205100000668,-1.983793144361948,0.6429194171606479
2025-02-16 05:36:24.064,107153.2,992.1323467000007,0.00024,1017.8491147000007,1.7849114700000654,-2.8538670238408748,0.5569371763042694
2025-02-16 05:38:35.136,107182.94,992.1323467000007,0.00024,1017.8562523000006,1.7856252300000621,-2.2046106527177107,0.6851147145233343
2025-02-16 05:40:46.208,107152.04,992.1323467000007,0.00024,1017.8488363000007,1.7848836300000697,-2.2408932561685186,0.5678961171560009
2025-02-16 05:42:57.280,107152.04,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,11.87318462046626,0.5803796707371357
2025-02-16 05:45:08.352,107200.59,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,12.343850979830208,0.7810500685644679
2025-02-16 05:47:19.424,107400.0,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,6.623063089508011,1.2680790490969367
2025-02-16 05:49:30.496,107387.62,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,6.6254738774380195,1.1329338877520334
2025-02-16 05:51:41.568,107376.6,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,6.6316895608980495,1.0117314613690975
2025-02-16 05:53:52.640,107376.6,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,6.6457830394794435,0.9475143500321253
2025-02-16 05:56:03.712,107376.6,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,6.632569645076789,0.89322532417094
2025-02-16 05:58:14.784,107376.6,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,6.59658139065541,0.8500484487984785
2025-02-16 06:00:25.856,107376.6,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,-0.3818557045846849,0.8148274250490543
2025-02-16 06:02:36.928,107376.6,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,-0.3929776252549815,0.7855881672435139
2025-02-16 06:04:48.000,107376.6,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,-0.38142177222320056,0.758976650340221
2025-02-16 06:06:59.072,107199.54,1017.8488363000007,0.0,1017.8488363000007,1.7848836300000697,1.612086070840615,0.3947064236500437
2025-02-16 06:09:10.144,104409.97,992.7904435000007,0.00024,1017.8488363000007,1.7848836300000697,-1.4562130250563325,-0.5702770064444402
2025-02-16 06:11:21.216,104347.69,992.7904435000007,0.00024,1017.8338891000008,1.783388910000076,-1.5691563837282838,-0.25259798047455206
2025-02-16 06:13:32.288,104433.09,992.7904435000007,0.00024,1017.8543851000007,1.785438510000074,-6.747348156056563,-0.08343647154848205
2025-02-16 06:15:43.360,103499.87,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,-17.517655305276307,-0.12707915960739638
2025-02-16 06:17:54.432,103640.23,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,12.584549928480836,-0.0027859432825889556
2025-02-16 06:20:05.504,105513.03,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,13.805816468569171,0.34287223202486017
2025-02-16 06:22:16.576,100233.32,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,10.362879067688269,-0.2490795965074395
2025-02-16 06:24:27.648,101366.29,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,11.101697068501947,-0.0057716959469106864
2025-02-16 06:26:38.720,103388.12,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,12.42014715860596,0.25197044512241246
2025-02-16 06:28:49.792,101916.51,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,11.460499543772881,0.13279615666992323
2025-02-16 06:31:00.864,101614.87,1017.6304123000007,0.0,1017.6304123000007,1.763041230000067,11.326320228581523,0.1440300156690322
2025-02-16 06:33:11.936,101614.87,992.2266948000007,0.00025,1017.6304123000007,1.763041230000067,-17.66065601924216,0.18022311737658647
2025-02-16 06:35:23.008,101614.87,992.2266948000007,0.00025,1017.6304123000007,1.763041230000067,-17.637421106233074,0.21109780760155178
2025-02-16 06:37:34.080,101750.0,992.2266948000007,0.00025,1017.6641948000007,1.7664194800000703,-17.579736300483145,0.25055386253280565
2025-02-16 06:39:45.152,101687.45,992.2266948000007,0.00025,1017.6485573000007,1.7648557300000676,-17.26999939454429,0.2677008243392821
2025-02-16 06:41:56.224,104364.79,1018.3178923000007,0.0,1018.3178923000007,1.831789230000072,-15.541353510789978,0.5704019538500352
2025-02-16 06:44:07.296,104464.89,993.2463187000008,0.00024,1018.3178923000007,1.831789230000072,-16.19036116769393,0.6050967323751116
2025-02-16 06:46:18.368,104216.24,993.2463187000008,0.00024,1018.2582163000008,1.8258216300000754,-1.63737318812914,0.6032106591240327
2025-02-16 06:48:29.440,104223.24,993.2463187000008,0.00024,1018.2598963000007,1.825989630000072,-4.695457067347978,0.6408877428116568
2025-02-16 06:50:40.512,105513.03,1018.5694459000008,0.0,1018.5694459000008,1.85694459000008,-2.6922707052259227,0.8824435130450426
2025-02-16 06:52:51.584,102375.0,992.9756959000008,0.00025,1018.5694459000008,1.85694459000008,-4.351302023161941,0.3811092888314378
2025-02-16 06:55:02.656,104406.25,1019.0772584000008,0.0,1019.0772584000008,1.90772584000008,-1.9538058901460489,0.718548912269136
2025-02-16 06:57:13.728,104272.64,994.0518248000008,0.00024,1019.0772584000008,1.90772584000008,-1.6479031363209917,0.6985613208436694
2025-02-16 06:59:24.800,104510.95,994.0518248000008,0.00024,1019.1344528000008,1.913445280000076,-1.7694867151095897,0.7254063045362212
2025-02-16 07:01:35.872,104032.44,994.0518248000008,0.00024,1019.0196104000007,1.9019610400000715,-2.379068600531104,0.6430142535225248
2025-02-16 07:03:46.944,104052.03,994.0518248000008,0.00024,1019.0243120000008,1.9024312000000807,-1.2081331823068784,0.6669400973151521
2025-02-16 07:05:58.016,104491.21,994.0518248000008,0.00024,1019.1297152000008,1.912971520000076,-2.527484175474579,0.7254082350442735
2025-02-16 07:08:09.088,104638.71,994.0518248000008,0.00024,1019.1651152000007,1.9165115200000742,-3.0094855751004626,0.7304943767035345
2025-02-16 07:10:20.160,104877.8,994.0518248000008,0.00024,1019.2224968000007,1.9222496800000728,-1.6824494704507469,0.7553217666178871
2025-02-16 07:12:31.232,104866.24,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,0.8298963064031627,0.7293622647856091
2025-02-16 07:14:42.304,104632.91,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,2.3202128498535877,0.6647658343399832
2025-02-16 07:16:53.376,104974.7,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,-0.2506783372119379,0.7161861675772299
2025-02-16 07:19:04.448,104767.32,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,2.1716134132881253,0.6531876496525008
2025-02-16 07:21:15.520,105513.03,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,0.4694568575044248,0.8345784916168586
2025-02-16 07:23:26.592,105513.03,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,2.1760221371082378,0.8677249411397997
2025-02-16 07:25:37.664,102375.0,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,3.421754364750207,-0.13234830986845544
2025-02-16 07:27:48.736,104359.25,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,4.010883221712058,0.4781255972041858
2025-02-16 07:29:59.808,104607.29,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,4.276515911941412,0.5482637849197657
2025-02-16 07:32:10.880,104658.9,1019.2197224000008,0.0,1019.2197224000008,1.9219722400000818,4.811643922629711,0.5574597343931198
